iter	RMSE
0	88259.16986
1	84391.6885
2	80732.391
3	77334.48875
4	74059.10233
5	71027.4826
6	68201.04661
7	65402.03692
8	62919.39748
9	60519.63909
10	58287.76518
11	56175.99491
12	54239.25447
13	52240.60673
14	50451.76319
15	48849.42535
16	47250.57768
17	45902.35189
18	44423.01922
19	43048.49542
20	41898.33996
21	40790.18394
22	39766.98463
23	38694.9466
24	37620.32165
25	36629.26702
26	35836.22245
27	35049.70779
28	34336.54541
29	33611.59402
30	32873.42739
31	32190.18189
32	31540.2881
33	30943.777
34	30429.82803
35	29960.15424
36	29443.12316
37	29005.58201
38	28548.45162
39	28092.98812
40	27710.92706
41	27305.68216
42	26982.30893
43	26651.84159
44	26376.33914
45	26125.73784
46	25826.7682
47	25546.66488
48	25272.13657
49	24997.61353
50	24754.62196
51	24514.46136
52	24233.8014
53	24076.69398
54	23833.40075
55	23649.44593
56	23477.95991
57	23315.028
58	23103.14132
59	22931.0736
60	22753.04365
61	22577.86601
62	22414.11508
63	22293.19672
64	22174.1779
65	22066.17358
66	21956.53025
67	21793.59918
68	21625.41614
69	21505.90424
70	21410.28997
71	21271.9767
72	21196.13289
73	21095.3334
74	21008.1492
75	20928.71082
76	20815.20798
77	20732.75261
78	20674.56443
79	20564.12812
80	20468.34657
81	20406.81861
82	20301.53857
83	20224.89939
84	20118.09328
85	20044.6472
86	19947.61162
87	19872.58501
88	19837.11978
89	19777.34729
90	19727.89934
91	19651.19339
92	19598.68869
93	19524.63042
94	19397.44756
95	19351.00278
96	19279.03678
97	19209.02745
98	19109.45892
99	19079.80459
100	19018.19311
101	18978.69723
102	18913.80351
103	18884.35402
104	18791.97393
105	18726.98936
106	18676.51183
107	18648.18497
108	18607.15617
109	18573.58386
110	18452.69579
111	18404.99007
112	18345.72708
113	18301.46527
114	18256.02095
115	18154.99266
116	18101.57832
117	18056.48378
118	18022.46006
119	17979.78112
120	17923.65588
121	17828.69274
122	17761.01826
123	17730.59034
124	17694.58255
125	17664.27203
126	17617.97515
127	17553.6597
128	17473.12987
129	17404.6304
130	17360.07299
131	17334.41989
132	17289.65721
133	17240.42543
134	17120.06864
135	17088.13253
136	17026.98854
137	16945.36545
138	16916.70921
139	16880.95678
140	16852.78194
141	16820.02076
142	16750.89585
143	16706.28542
144	16642.4295
145	16595.49856
146	16555.77211
147	16504.55687
148	16454.58871
149	16415.06726
150	16397.42305
151	16344.57088
152	16293.48962
153	16258.24418
154	16203.31031
155	16150.5731
156	16109.28812
157	16052.80948
158	16022.15156
159	15941.37844
160	15909.6141
161	15874.56251
162	15818.23249
163	15756.07416
164	15721.28443
165	15687.57858
166	15626.51975
167	15605.25595
168	15558.77519
169	15536.1455
170	15488.80456
171	15433.55965
172	15403.90352
173	15334.60306
174	15295.00856
175	15265.61313
176	15225.38721
177	15173.32144
178	15146.13546
179	15099.06896
180	15032.6774
181	14986.57107
182	14968.08292
183	14933.91988
184	14878.51342
185	14843.2804
186	14807.16774
187	14774.24612
188	14742.33587
189	14714.51442
190	14682.97513
191	14637.16345
192	14609.59389
193	14560.1167
194	14528.9257
195	14489.94382
196	14450.97186
197	14407.65464
198	14359.79352
199	14320.34909
200	14290.71666
201	14261.20782
202	14225.33884
203	14182.5285
204	14148.8382
205	14091.96825
206	14064.03953
207	14018.88986
208	14004.97257
209	13949.44581
210	13888.5214
211	13861.33745
212	13830.88726
213	13802.34006
214	13776.80964
215	13747.13039
216	13709.43649
217	13679.17623
218	13651.35711
219	13626.59411
220	13600.42167
221	13563.0949
222	13530.6294
223	13487.652
224	13455.37631
225	13432.35507
226	13393.23532
227	13372.94144
228	13337.13622
229	13310.64702
230	13270.40184
231	13252.62465
232	13222.77173
233	13163.92828
234	13151.09083
235	13099.9188
236	13071.5602
237	13041.51723
238	13014.43904
239	13001.82539
240	12958.30455
241	12928.25792
242	12900.40127
243	12874.1176
244	12838.29483
245	12793.72734
246	12760.51259
247	12721.4151
248	12686.70147
249	12671.31506
250	12636.40664
251	12611.59399
252	12581.12
253	12534.14862
254	12511.35819
255	12493.51533
256	12464.22333
257	12441.2064
258	12411.94394
259	12387.40118
260	12372.25969
261	12353.07071
262	12326.35603
263	12297.186
264	12269.83432
265	12226.41114
266	12202.07975
267	12184.42988
268	12158.54765
269	12137.53975
270	12106.95414
271	12075.09121
272	12042.12416
