iter	Passed	Remaining
0	9	9182
1	14	7144
2	18	6119
3	22	5662
4	27	5496
5	31	5259
6	34	4923
7	38	4759
8	43	4767
9	46	4612
10	49	4432
11	51	4274
12	55	4220
13	59	4158
14	61	4058
15	64	3970
16	67	3875
17	71	3891
18	75	3874
19	78	3824
20	80	3764
21	83	3708
22	87	3695
23	90	3661
24	92	3621
25	95	3568
26	97	3519
27	101	3523
28	106	3577
29	109	3544
30	112	3512
31	116	3520
32	119	3510
33	123	3500
34	125	3466
35	128	3435
36	131	3420
37	134	3404
38	137	3394
39	140	3366
40	142	3341
41	145	3314
42	148	3314
43	151	3299
44	154	3278
45	156	3250
46	158	3223
47	161	3201
48	165	3210
49	168	3197
50	170	3179
51	173	3159
52	175	3138
53	179	3136
54	183	3151
55	187	3154
56	189	3138
57	191	3117
58	195	3118
59	198	3115
60	202	3110
61	204	3094
62	206	3077
63	210	3075
64	214	3083
65	217	3079
66	219	3062
67	222	3050
68	226	3051
69	229	3050
70	232	3045
71	235	3034
72	238	3024
73	242	3034
74	249	3081
75	253	3087
76	258	3100
77	263	3116
78	266	3110
79	269	3099
80	272	3090
81	277	3112
82	281	3112
83	284	3100
84	287	3090
85	291	3098
86	295	3102
87	298	3088
88	300	3078
89	305	3085
90	309	3091
91	312	3088
92	315	3078
93	318	3066
94	325	3100
95	331	3122
96	334	3111
97	339	3123
98	343	3125
99	346	3114
100	348	3102
101	351	3095
102	355	3097
103	359	3094
104	361	3085
105	364	3074
106	368	3073
107	372	3073
108	375	3070
109	378	3062
110	381	3054
111	385	3060
112	389	3058
113	392	3054
114	395	3044
115	399	3047
116	403	3045
117	406	3038
118	408	3026
119	411	3016
120	415	3017
121	419	3022
122	422	3015
123	425	3007
124	428	2999
125	433	3007
126	437	3004
127	439	2995
128	442	2987
129	446	2989
130	450	2987
131	453	2982
132	456	2975
133	459	2967
134	462	2966
135	466	2961
136	469	2955
137	471	2947
138	474	2939
139	478	2938
140	482	2941
141	485	2933
142	487	2923
143	490	2913
144	494	2914
145	497	2908
146	500	2901
147	502	2892
148	505	2885
149	509	2884
150	512	2882
151	515	2877
152	518	2869
153	520	2861
154	524	2860
155	528	2859
156	531	2855
157	534	2848
158	536	2840
159	543	2855
160	548	2857
161	550	2849
162	553	2844
163	559	2854
164	565	2860
165	569	2859
166	577	2879
167	581	2879
168	584	2876
169	593	2895
170	598	2900
171	602	2898
172	609	2913
173	613	2914
174	620	2923
175	628	2940
176	631	2936
177	636	2937
178	640	2938
179	644	2935
180	647	2928
181	651	2927
182	655	2925
183	658	2919
184	660	2911
185	663	2905
186	668	2905
187	671	2900
188	674	2893
189	676	2885
190	679	2878
191	684	2878
192	687	2874
193	690	2868
194	693	2862
195	696	2855
196	701	2859
197	705	2855
198	707	2848
199	710	2841
200	716	2849
201	721	2848
202	724	2844
203	727	2837
204	732	2841
205	736	2839
206	739	2832
207	742	2825
208	747	2828
209	751	2827
210	755	2826
211	760	2824
212	766	2833
213	771	2832
214	776	2833
215	782	2840
216	785	2836
217	788	2829
218	793	2829
219	799	2834
220	802	2829
221	805	2824
222	812	2829
223	816	2827
224	819	2821
225	822	2816
226	829	2825
227	834	2824
228	837	2818
229	842	2821
230	846	2819
231	849	2813
232	852	2807
233	857	2806
234	860	2802
235	864	2798
236	867	2792
237	870	2788
238	874	2785
239	877	2780
240	880	2772
241	883	2765
242	885	2758
243	890	2757
244	893	2752
245	896	2746
246	898	2739
247	901	2732
248	905	2730
249	909	2727
250	912	2722
251	915	2716
252	919	2715
253	922	2710
254	925	2703
255	927	2696
256	930	2689
257	933	2685
258	936	2680
259	940	2675
260	942	2668
261	944	2660
262	947	2654
263	950	2651
264	954	2646
265	956	2640
266	959	2633
267	961	2626
268	965	2623
269	968	2618
270	971	2613
271	974	2607
272	976	2601
273	980	2598
274	984	2594
275	987	2589
276	989	2583
277	992	2577
278	995	2573
279	999	2571
280	1013	2593
281	1016	2589
282	1020	2584
283	1023	2579
284	1025	2573
285	1030	2572
286	1034	2569
287	1037	2564
288	1040	2558
289	1043	2554
290	1047	2553
291	1050	2548
292	1053	2541
293	1056	2535
294	1059	2532
295	1063	2528
