Id,LotArea,Street,LotConfig,OverallQual,OverallCond,YearBuilt,YearRemodAdd,TotalBsmtSF,1stFlrSF,2ndFlrSF,GrLivArea,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,TotRmsAbvGrd,Fireplaces,GarageType,GarageYrBlt,GarageCars,GarageArea,YrSold,SalePrice
1,8450,Pave,Inside,7,5,2003,2003,856,856,854,1710,2,1,3,1,8,0,Attchd,2003,2,548,2008,208500
2,9600,Pave,FR2,6,8,1976,1976,1262,1262,0,1262,2,0,3,1,6,1,Attchd,1976,2,460,2007,181500
3,11250,Pave,Inside,7,5,2001,2002,920,920,866,1786,2,1,3,1,6,1,Attchd,2001,2,608,2008,223500
4,9550,Pave,Corner,7,5,1915,1970,756,961,756,1717,1,0,3,1,7,1,Detchd,1998,3,642,2006,140000
5,14260,Pave,FR2,8,5,2000,2000,1145,1145,1053,2198,2,1,4,1,9,1,Attchd,2000,3,836,2008,250000
6,14115,Pave,Inside,5,5,1993,1995,796,796,566,1362,1,1,1,1,5,0,Attchd,1993,2,480,2009,143000
7,10084,Pave,Inside,8,5,2004,2005,1686,1694,0,1694,2,0,3,1,7,1,Attchd,2004,2,636,2007,307000
8,10382,Pave,Corner,7,6,1973,1973,1107,1107,983,2090,2,1,3,1,7,2,Attchd,1973,2,484,2009,200000
9,6120,Pave,Inside,7,5,1931,1950,952,1022,752,1774,2,0,2,2,8,2,Detchd,1931,2,468,2008,129900
10,7420,Pave,Corner,5,6,1939,1950,991,1077,0,1077,1,0,2,2,5,2,Attchd,1939,1,205,2008,118000
11,11924,Pave,Inside,9,5,2005,2006,1175,1182,1142,2324,3,0,4,1,11,2,BuiltIn,2005,3,736,2006,345000
12,12968,Pave,Inside,5,6,1962,1962,912,912,0,912,1,0,2,1,4,0,Detchd,1962,1,352,2008,144000
13,10652,Pave,Inside,7,5,2006,2007,1494,1494,0,1494,2,0,3,1,7,1,Attchd,2006,3,840,2007,279500
14,10920,Pave,Corner,6,5,1960,1960,1253,1253,0,1253,1,1,2,1,5,1,Attchd,1960,1,352,2008,157000
