Id,LotArea,Street,LotConfig,OverallQual,OverallCond,YearBuilt,YearRemodAdd,TotalBsmtSF,1stFlrSF,2ndFlrSF,GrLivArea,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,TotRmsAbvGrd,Fireplaces,GarageType,GarageYrBlt,GarageCars,GarageArea,YrSold
1341,11200,Pave,Inside,5,5,1965,1965,1040,1040,0,1040,1,0,3,1,5,0,Detchd,1965,1,384,2008
1342,7200,Pave,Corner,5,7,1951,2000,900,900,0,900,1,0,3,1,5,0,Detchd,2005,2,576,2010
1343,16905,Pave,Inside,5,6,1959,1959,1350,1328,0,1328,1,1,2,1,5,2,Attchd,1959,1,308,2007
1344,9180,Pave,CulDSac,5,7,1983,1983,840,884,0,884,1,0,2,1,5,0,Attchd,1983,2,504,2007
1345,7200,Pave,Inside,5,7,1920,1996,530,581,530,1111,1,0,3,1,6,0,Detchd,1935,1,288,2007
1346,10300,Pave,Inside,7,6,1921,1950,576,902,808,1710,2,0,3,1,9,0,Detchd,1990,2,480,2010
1347,10665,Pave,Inside,7,5,2003,2003,1453,1479,0,1479,2,0,3,1,7,0,Attchd,2003,2,558,2007
1348,4608,Pave,Corner,4,6,1945,1950,747,747,0,747,1,0,2,1,4,0,Attchd,1945,1,220,2010
1349,15593,Pave,Corner,7,4,1953,1953,1304,1304,983,2287,2,0,3,1,7,1,Attchd,1953,2,667,2006
1350,10200,Pave,Inside,5,7,1954,2003,1086,1086,0,1086,1,0,3,1,6,0,Attchd,1989,2,490,2010
1351,10402,Pave,Corner,7,5,2009,2009,1226,1226,0,1226,2,0,3,1,6,0,Attchd,2009,3,740,2010
1352,7758,Pave,Corner,7,4,1931,1950,1040,1226,592,1818,1,1,4,1,7,2,Detchd,1951,1,240,2007
1353,9375,Pave,Inside,8,5,2003,2004,1053,1053,939,1992,2,1,3,1,9,1,Attchd,2003,2,648,2008
1354,6060,Pave,Inside,4,5,1939,1950,732,772,351,1123,1,0,3,1,4,0,Detchd,1979,1,264,2007
1355,10562,Pave,Inside,8,5,2007,2007,1582,1610,551,2161,1,1,3,1,8,1,Attchd,2007,3,789,2007
1356,8244,Pave,Inside,7,5,2004,2004,840,840,880,1720,2,1,3,1,7,1,Attchd,2004,2,440,2007
1357,31770,Pave,Corner,6,5,1960,1960,1080,1656,0,1656,1,0,3,1,7,2,Attchd,1960,2,528,2010
1358,5306,Pave,Inside,7,7,1987,1987,1064,1064,703,1767,2,0,2,1,5,1,Attchd,1987,2,504,2006
1359,10197,Pave,Inside,6,5,1961,1961,1362,1362,0,1362,1,1,3,1,6,1,Attchd,1961,2,504,2008
1360,12416,Pave,Inside,6,5,1986,1986,1606,1651,0,1651,2,0,3,1,7,1,Attchd,1986,2,616,2008
1361,13650,Pave,Inside,5,5,1958,1958,1052,1252,668,1920,2,0,4,1,8,1,Attchd,1958,2,451,2006
